# averaged effective area : E_est Veritas, M13 obs, 7h on time, epoch V5
# McCutcheon, M13 UL PhD Thesis, McGill 2012
#
# log10(E_est/TeV), A_eff/cm^2
-1.14285714286, 15609.750651
-1.10204081633, 37207.1113558
-1.0612244898, 58804.4720606
-1.02040816327, 102260.725068
-0.979591836735, 156021.033573
-0.938775510204, 468156.339634
-0.897959183673, 1150396.37191
-0.857142857143, 1832636.40418
-0.816326530612, 14607601.3123
-0.775510204082, 29183610.3508
-0.734693877551, 50717157.9589
-0.69387755102, 94417747.0577
-0.65306122449, 138118336.157
-0.612244897959, 168611020.501
-0.571428571429, 198700410.043
-0.530612244898, 231355563.395
-0.489795918367, 267416989.388
-0.448979591837, 302592616.953
-0.408163265306, 326066381.063
-0.367346938776, 349540145.173
-0.326530612245, 382730866.029
-0.285714285714, 421867784.297
-0.244897959184, 460208961.518
-0.204081632653, 489352852.686
-0.163265306122, 518496743.855
-0.122448979592, 547586904.271
-0.0816326530612, 576656207.764
-0.0408163265306, 602958620.359
-2.22044604925e-16, 624365764.444
0.0408163265306, 645772908.53
0.0816326530612, 669494662.289
0.122448979592, 693723226.744
0.163265306122, 710869050.199
0.204081632653, 715974213.956
0.244897959184, 721079377.712
0.285714285714, 735563656.201
0.326530612245, 750859407.393
0.367346938776, 760348438.225
0.408163265306, 760348438.225
0.448979591837, 764027058.139
0.489795918367, 797134637.362
0.530612244898, 830242216.586
0.571428571429, 837708960.363
0.612244897959, 825861828.091
0.65306122449, 812734012.698
0.69387755102, 790247359.109
0.734693877551, 767760705.519
0.775510204082, 760348438.225
0.816326530612, 760348438.225
0.857142857143, 761085466.451
0.897959183673, 766771112.768
0.938775510204, 772456759.085
0.979591836735, 773762351.943
1.02040816327, 773762351.943
1.0612244898, 768470694.767
1.10204081633, 745426381.261
1.14285714286, 722382067.756
1.18367346939, 716754507.172
1.22448979592, 711831670.693
1.26530612245, 681545026.443
1.30612244898, 616285378.52
1.34693877551, 555013820.2
1.38775510204, 555013820.2
1.42857142857, 555013820.2
1.4693877551, 553261674.295
1.51020408163, 549183403.654
1.55102040816, 546823545.96
1.59183673469, 567164827.733
1.63265306122, 587506109.506
1.67346938776, 579637605.546
1.71428571429, 554506396.879
1.75510204082, 516430901.804
1.79591836735, 441725830.322
1.83673469388, 367020758.839
